"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore"
"Divandu albimarginatus","Divandu albimarginatus","Divandu","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Parananochromis caudifasciatus","Parananochromis caudifasciatus","Parananochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Chromidotilapia kingsleyae","Chromidotilapia kingsleyae","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Teleogramma brichardi","Teleogramma brichardi","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Teleogramma depressum","Teleogramma depressum","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Teleogramma gracile","Teleogramma gracile","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Teleogramma monogramma","Teleogramma monogramma","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Teleogramma obamaorum","Teleogramma obamaorum","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Limbochromis robertsi","Limbochromis robertsi","Limbochromis","Chromidotilapiini","Other","Riverine","not_applicable","biparental_mouthbrooder","demersal","non-piscivore"
"Nanochromis parilus","Nanochromis parilus","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Nanochromis nudiceps","Nanochromis nudiceps","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Nanochromis consortus","Nanochromis consortus","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Nanochromis splendens","Nanochromis splendens","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Nanochromis transvestitus","Nanochromis transvestitus","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Nanochromis wickleri","Nanochromis wickleri","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Congochromis squamiceps","Congochromis squamiceps","Congochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Chromidotilapia cavalliensis","Chromidotilapia cavalliensis","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","paternal_mouthbrooder","demersal","non-piscivore"
"Chromidotilapia guntheri","Chromidotilapia guntheri","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","paternal_mouthbrooder","benthopelagic","non-piscivore"
"Benitochromis batesii","Benitochromis batesii","Benitochromis","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore"
"Pelvicachromis pulcher","Pelvicachromis pulcher","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Pelvicachromis taeniatus","Pelvicachromis taeniatus","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Pelvicachromis roloffi","Pelvicachromis roloffi","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Hemichromis letourneuxi","Hemichromis letourneuxi","Hemichromis","Hemichromini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Anomalochromis thomasi","Anomalochromis thomasi","Anomalochromis","Hemichromini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Pelmatochromis nigrofasciatus","Pelmatochromis nigrofasciatus","Pelmatochromis","Pelmatochromini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Pelmatochromis buettikoferi","Pelmatochromis buettikoferi","Pelmatochromis","Pelmatochromini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Coptodon zillii","Coptodon zillii","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Coptodon guineensis","Coptodon guineensis","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Coptodon discolor","Coptodon discolor","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Coptodon dageti","Coptodon dageti","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore"
"Coptodon tholloni","Coptodon tholloni","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Coptodon rendalli","Coptodon rendalli","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore"
"Benthochromis horii","Benthochromis horii","Benthochromis","Benthochromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Benthochromis melanoides","Benthochromis melanoides","Benthochromis","Benthochromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Benthochromis tricoti","Benthochromis tricoti","Benthochromis","Benthochromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore"
"Xenochromis hecqui","Xenochromis hecqui","Xenochromis","Perissodini","Other","Lake Tanganyika","not_applicable","data_deficient","pelagic","piscivore"
"Plecodus straeleni","Plecodus straeleni","Plecodus","Perissodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","piscivore"
"Perissodus microlepis","Perissodus microlepis","Perissodus","Perissodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
"Perissodus eccentricus","Perissodus eccentricus","Perissodus","Perissodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore"
