"","node","mean","median","sd","n","CI_upper","CI_lower"
"1","416",-0.148382846277112,-0.1339135,1.03971362592604,18005,-0.133195802523556,-0.163569890030668
"2","417",-0.0751177925406998,-0.07070885,0.479712027544089,18005,-0.0681106634911691,-0.0821249215902305
"3","418",-0.274252698961633,-0.2420906,0.322200522913007,18005,-0.269546332403688,-0.278959065519579
"4","419",-0.408765998585015,-0.3449034,0.426161488208758,18005,-0.402541079524497,-0.414990917645533
"5","420",-0.292840162425065,-0.3113429,0.429752739567904,18005,-0.286562786139633,-0.299117538710497
"6","421",-0.308596547222266,-0.3265337,0.429192816457268,18005,-0.302327349705072,-0.31486574473946
"7","422",-0.0331273508693091,-0.08059117,0.458526002683335,18005,-0.0264296850012748,-0.0398250167373434
"8","423",-0.0468839338396123,-0.04464911,0.490378974578898,18005,-0.0397209932403481,-0.0540468744388764
"9","424",0.0254102043212653,0.0604732,0.515063125628371,18005,0.0329337050523386,0.0178867035901919
"10","425",-0.0393206303711751,-0.002111053,0.405149772362338,18005,-0.0334026283692971,-0.0452386323730531
"11","426",-0.128986079769253,-0.1782013,0.360019834694067,18005,-0.123727288458542,-0.134244871079963
"12","427",-0.206730933827386,-0.2101397,0.316389344419656,18005,-0.202109450856457,-0.211352416798315
"13","428",-0.139131851836302,-0.1358963,0.38564781259991,18005,-0.133498713963167,-0.144764989709436
"14","429",-0.116034262424588,-0.103341,0.245985393323668,18005,-0.112441166366224,-0.119627358482952
"15","430",-0.118620963057214,-0.08746224,0.280166879907569,18005,-0.114528579772669,-0.12271334634176
"16","431",-0.169118304796242,-0.1865848,0.299569617938969,18005,-0.164742506709704,-0.173494102882781
"17","432",-0.26670689795694,-0.2930697,0.321851385776143,18005,-0.262005631227294,-0.271408164686585
"18","433",-0.291176013749833,-0.2983881,0.193815102782714,18005,-0.288344966456941,-0.294007061042725
"19","434",-0.302519273911589,-0.2973588,0.177244439297595,18005,-0.29993027345265,-0.305108274370527
"20","435",-0.252514403122999,-0.2525304,0.147015001782307,18005,-0.25036696251164,-0.254661843734358
"21","436",-0.241472636623988,-0.2287868,0.128430385308597,18005,-0.239596660554875,-0.243348612693101
"22","437",-0.23826697910556,-0.2231045,0.123997522228101,18005,-0.236455753640727,-0.240078204570392
"23","438",-0.241816873601777,-0.2367498,0.0530204087852308,18005,-0.241042407202594,-0.242591340000961
