"","node","mean","median","sd","n","CI_upper","CI_lower"
"1","416",-0.0906136470796983,-0.08908735,0.34187759810135,18005,-0.0856198584909401,-0.0956074356684565
"2","417",-0.0909116097861923,-0.1073999,0.195385648759343,18005,-0.0880576216085514,-0.0937655979638332
"3","418",-0.11212637366109,-0.1337608,0.179272491492309,18005,-0.109507749547476,-0.114744997774703
"4","419",-0.124027905112985,-0.1295794,0.194651461062291,18005,-0.121184641177482,-0.126871169048488
"5","420",-0.0708475907176234,-0.08016447,0.186258063029194,18005,-0.0681269287178755,-0.0735682527173712
"6","421",-0.100306632701593,-0.09039671,0.187876118516279,18005,-0.0975623358481073,-0.103050929555079
"7","422",-0.113483856350824,-0.1128947,0.160189536203145,18005,-0.111143975989045,-0.115823736712604
"8","423",-0.119696220181375,-0.1193146,0.157774736713396,18005,-0.117391612672228,-0.122000827690523
"9","424",-0.211707465257209,-0.2085231,0.145017345534484,18005,-0.209589204308484,-0.213825726205935
"10","425",-0.221900488846693,-0.2177882,0.134029388054193,18005,-0.219942728430858,-0.223858249262527
"11","426",-0.237403874984099,-0.2360947,0.134275721344815,18005,-0.235442516390488,-0.239365233577709
"12","427",-0.258714215873157,-0.2608246,0.142364543683418,18005,-0.256634704265382,-0.260793727480932
"13","428",-0.245632045802016,-0.2443489,0.14452099350884,18005,-0.243521035041941,-0.247743056562091
"14","429",-0.222296935000963,-0.2214642,0.108633875126434,18005,-0.220710125543509,-0.223883744458417
"15","430",-0.216443130285254,-0.2172024,0.1144998671868,18005,-0.214770636581814,-0.218115623988694
"16","431",-0.237629330611364,-0.2399579,0.11453720408515,18005,-0.235956291529759,-0.239302369692968
"17","432",-0.256698633680828,-0.2574994,0.110825423293886,18005,-0.255079812391387,-0.258317454970268
"18","433",-0.237902814415996,-0.2386646,0.0689284939449479,18005,-0.236895979430567,-0.238909649401424
"19","434",-0.239905510485421,-0.24187,0.0640690470020558,18005,-0.238969657192931,-0.24084136377791
"20","435",-0.271537744837545,-0.2702608,0.0483592997409347,18005,-0.270831363019761,-0.27224412665533
"21","436",-0.26435584787559,-0.2625822,0.0423129068195105,18005,-0.263737785409942,-0.264973910341238
"22","437",-0.2623103946015,-0.2605483,0.0414034423690797,18005,-0.26170561663656,-0.262915172566439
"23","438",-0.270865201099695,-0.2632453,0.0246966806137005,18005,-0.270504457949181,-0.271225944250208
"24","439",-0.283266876823105,-0.282912,0.0134436982229017,18005,-0.283070505410795,-0.283463248235414
"25","440",-0.284089694018328,-0.2829107,0.0125965758141857,18005,-0.283905696479713,-0.284273691556943
"26","441",-0.283850405631769,-0.2833462,0.0123403251710008,18005,-0.283670151133192,-0.284030660130346
"27","442",-0.281503283499028,-0.2817789,0.0124505303634359,18005,-0.281321419238842,-0.281685147759214
"28","443",-0.2781824097584,-0.2778942,0.0125485057379525,18005,-0.27799911437693,-0.278365705139871
"29","444",-0.273066366737018,-0.2722635,0.0118030379174323,18005,-0.272893960365872,-0.273238773108164
"30","445",-0.277281322921411,-0.2781834,0.0117226056102071,18005,-0.277110091420862,-0.277452554421959
"31","446",-0.277791447486809,-0.2786053,0.0119141023120828,18005,-0.277617418803731,-0.277965476169887
"32","447",-0.283283220338795,-0.2828988,0.0146108834609142,18005,-0.283069799911414,-0.283496640766176
"33","448",-0.288813220860872,-0.2893465,0.0150514078613027,18005,-0.288593365716107,-0.289033076005637
"34","449",-0.305312549275201,-0.3040678,0.0142691114693169,18005,-0.30510412109382,-0.305520977456582
"35","450",-0.309369884021105,-0.3068588,0.0143793731738783,18005,-0.309159845252646,-0.309579922789565
"36","451",-0.309611363582338,-0.3066428,0.0144118683920599,18005,-0.309400850157889,-0.309821877006788
"37","452",-0.309596373835046,-0.3069052,0.0144912268323556,18005,-0.309384701225918,-0.309808046444174
"38","453",-0.307734452613163,-0.306788,0.015873981666538,18005,-0.307502582174899,-0.307966323051427
"39","454",-0.305597344493196,-0.3054873,0.0195572744424583,18005,-0.305311672385751,-0.305883016600642
"40","455",-0.303198803126909,-0.3024898,0.0166287202408934,18005,-0.302955908260893,-0.303441697992925
"41","456",-0.272244790247154,-0.2726312,0.0236243639658918,18005,-0.271899710371067,-0.27258987012324
"42","457",-0.275035430785893,-0.2751034,0.0175734617710405,18005,-0.274778736128669,-0.275292125443117
"43","458",-0.23991979032491,-0.2398539,0.025150854674053,18005,-0.239552413077128,-0.240287167572692
"44","459",-0.196065779938906,-0.1960735,0.00150912338100774,18005,-0.19604373625087,-0.196087823626942
"45","460",-0.2456230941183,-0.2455351,0.0245340739118013,18005,-0.245264726155565,-0.245981462081036
"46","461",-0.277890700449875,-0.2775478,0.014404465971741,18005,-0.2776802951522,-0.27810110574755
"47","462",-0.278108494179395,-0.2788795,0.01546750720302,18005,-0.277882561092828,-0.278334427265961
"48","463",-0.276757102460427,-0.2773392,0.0159354709105748,18005,-0.276524333851921,-0.276989871068934
"49","464",-0.276598891974452,-0.2776346,0.015881072598432,18005,-0.276366917959308,-0.276830865989595
