node,mean,median,sd,n,CI_upper,CI_lower,notes
416,3.342845971,3.345761,0.250112779,18005,3.346499356,3.339192587,root node 
417,3.351752428,3.340915,0.150326297,18005,3.353948237,3.34955662,
418,3.33779375,3.330438,0.141986307,18005,3.339867737,3.335719763,
419,3.330101815,3.330209,0.151232578,18005,3.332310862,3.327892769,
420,3.376243069,3.365803,0.139787114,18005,3.378284932,3.374201206,
421,3.367995355,3.372612,0.137845289,18005,3.370008854,3.365981856,
422,3.410594062,3.408494,0.12103369,18005,3.412361994,3.408826129,
423,3.414022627,3.412999,0.118881172,18005,3.415759118,3.412286135,
424,3.437656206,3.437187,0.102832102,18005,3.43915827,3.436154143,"Root of Tanganyika Endemic tribes, but not Bathybates"
425,3.432893134,3.434805,0.094132478,18005,3.434268122,3.431518146,
426,3.419639453,3.418498,0.091284111,18005,3.420972836,3.418306071,
427,3.409371925,3.412265,0.098540403,18005,3.4108113,3.40793255,
428,3.406106175,3.409078,0.104845683,18005,3.40763765,3.404574699,
429,3.41093442,3.413957,0.083891147,18005,3.412159813,3.409709026,
430,3.413394949,3.414238,0.086409264,18005,3.414657124,3.412132773,
431,3.41161189,3.410607,0.085272622,18005,3.412857463,3.410366317,
432,3.406350502,3.405594,0.080952501,18005,3.407532971,3.405168033,
433,3.454355016,3.454863,0.049533238,18005,3.455078546,3.453631487,Root of Lake Malawi
434,3.447561513,3.447668,0.045892658,18005,3.448231865,3.446891161,
435,3.449734102,3.450315,0.034482186,18005,3.450237781,3.449230422,
436,3.452301685,3.452291,0.028838574,18005,3.452722928,3.451880441,
437,3.45138708,3.451018,0.028295666,18005,3.451800393,3.450973767,
438,3.442527828,3.444331,0.009743124,18005,3.442670146,3.442385511,
439,3.450713668,3.45007,0.010480168,18005,3.450866751,3.450560584,
440,3.451023881,3.451405,0.009812674,18005,3.451167214,3.450880547,
441,3.451727064,3.451938,0.009589963,18005,3.451867144,3.451586984,
442,3.454233184,3.454034,0.009383473,18005,3.454370248,3.45409612,
443,3.457119636,3.456805,0.009343088,18005,3.45725611,3.456983162,
444,3.463983802,3.463024,0.008592154,18005,3.464109307,3.463858297,
445,3.463720275,3.46349,0.008062895,18005,3.46383805,3.463602501,
446,3.463327238,3.4634,0.008217542,18005,3.463447271,3.463207204,
447,3.46930372,3.469125,0.009154007,18005,3.469437432,3.469170008,
448,3.470016492,3.470334,0.009712122,18005,3.470158356,3.469874628,
449,3.476274812,3.47584,0.008540497,18005,3.476399563,3.476150061,
450,3.478245745,3.478757,0.007738448,18005,3.47835878,3.47813271,
451,3.478343201,3.478756,0.007722958,18005,3.47845601,3.478230392,
452,3.478472696,3.479225,0.007717925,18005,3.478585431,3.478359961,
453,3.475312467,3.475165,0.008849926,18005,3.475441738,3.475183197,
