"","precaudal_count","caudal_count","total_count","ln_pc_ln_c","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width"
"Divandu albimarginatus",2.54493868054315,2.58347635049997,3.25809653802148,-0.0385376699568143,0.992914444,-0.15367390025,0.62462491375
"Parananochromis caudifasciatus",2.484906649788,2.63905732961526,3.25809653802148,-0.154150679827258,1.075255944,-0.128492293,0.728046067
"Chromidotilapia kingsleyae",2.56365919756592,2.60683647215712,3.27936834584605,-0.0431772745911938,0.939682142,-0.11678387652381,0.570953726285714
"Teleogramma brichardi",2.57977095189228,2.9829089499571,3.49492304375729,-0.403137998064822,1.74400205473684,0.345344673578947,1.46427597442105
"Teleogramma depressum",2.61586140736282,2.99506731471387,3.51703980617217,-0.379205907351043,2.20231890572,0.6953878086,1.95176434848
"Teleogramma gracile",2.64967161753633,2.95211687623508,3.5056577541465,-0.302445258698757,1.99108305153846,0.602140152461539,1.70553178857692
"Teleogramma monogramma",2.58674581985969,3.01280508854214,3.51577014376821,-0.426059268682446,1.95657641173333,0.587128241533333,1.66486330046667
"Teleogramma obamaorum",2.51492266516558,3.02012735563871,3.4925462671935,-0.505204690473131,1.589922910625,0.30861891175,1.272715380875
"Limbochromis robertsi",2.50844862263316,2.68775818007664,3.29583686600433,-0.179309557443478,1.04999349758824,-0.0251486340588235,0.653264002529412
"Nanochromis parilus",2.61126684005761,2.71556072245073,3.35852300003366,-0.104293882393121,1.293280854375,0.093197038875,0.93621199075
"Nanochromis nudiceps",2.63735229605967,2.75107588186059,3.38989686443693,-0.113723585800923,1.14828714733333,-0.0609144343333333,0.819114659333333
"Nanochromis consortus",2.56494935746154,2.77258872223978,3.36729582998647,-0.207639364778244,1.332717181,0.107616834,0.987897452
"Nanochromis splendens",2.55767274767303,2.71978447767268,3.33539463015805,-0.162111729999644,1.43016815954545,0.180858643181818,1.09767839563636
"Nanochromis transvestitus",2.54311952809603,2.58516062259437,3.25809653802148,-0.0420410944983431,1.23244757190909,0.119865803636364,0.853125565363636
"Nanochromis wickleri",2.6020033435384,2.740319461671,3.36729582998647,-0.138316118132598,1.230517977,0.004071289,0.90112397
"Congochromis squamiceps",2.62423573518451,2.56257546325361,3.28801426364537,0.0616602719309034,1.0911716616,-0.1508432692,0.755664696
"Chromidotilapia cavalliensis",2.56494935746154,2.484906649788,3.2188758248682,0.0800427076735364,1.001185526,-0.0390294955,0.575299054
"Chromidotilapia guntheri",2.59380856357705,2.60986327997894,3.29567340007113,-0.0160547164018983,0.914331702,-0.1582585003125,0.50928696340625
"Benitochromis batesii",2.5026939181599,2.63025476596854,3.26228990779735,-0.12756084780864,0.897462036555556,-0.241377210222222,0.530290918333333
"Pelvicachromis pulcher",2.52492800362477,2.67355376535873,3.29583686600433,-0.148625761733966,0.924137447,-0.3237894915,0.6013471505
"Pelvicachromis taeniatus",2.58347635049997,2.62053033657683,3.29583686600433,-0.0370539860768613,1.10959821375,-0.16837500525,0.79108393725
"Pelvicachromis roloffi",2.56494935746154,2.56494935746154,3.25809653802148,0,0.959937409,-0.339394342,0.647707007
"Hemichromis letourneuxi",2.484906649788,2.83321334405622,3.36729582998647,-0.348306694268216,0.985310827,-0.192409,0.636178794
"Anomalochromis thomasi",2.48821191824007,2.57206341790092,3.2245988037045,-0.0838514996608506,0.77214426815,-0.3748539975,0.40092719705
"Pelmatochromis nigrofasciatus",2.57252416153197,2.55539630821783,3.25793205078032,0.0171278533141397,0.749905360111111,-0.404563096111111,0.393016726222222
