node,water_system,tribe,haplochromine,lm_ecology,ancestral,tribal_root,description
412,riverine,N/A,Other,N/A,Ancestral,African,"root node of all African cichlids, Heterochromini diverges here"
413,riverine,N/A,Other,N/A,Ancestral,,ancestral node
414,riverine,N/A,Other,N/A,Ancestral,,ancestral node
415,riverine,Chromidotilapiini,Other,N/A,Derived,Chromidotilapiini,Root node of Chromidotilapiini
416,riverine,Chromidotilapiini,Other,N/A,Derived,,
417,riverine,Chromidotilapiini,Other,N/A,Derived,,
418,riverine,Chromidotilapiini,Other,N/A,Derived,,
419,riverine,Chromidotilapiini,Other,N/A,Derived,,Root of Teleogramma
420,riverine,Chromidotilapiini,Other,N/A,Derived,,
421,riverine,Chromidotilapiini,Other,N/A,Derived,,
422,riverine,Chromidotilapiini,Other,N/A,Derived,,
423,riverine,Chromidotilapiini,Other,N/A,Derived,,
424,riverine,Chromidotilapiini,Other,N/A,Derived,,Root of Nanochromis
425,riverine,Chromidotilapiini,Other,N/A,Derived,,
426,riverine,Chromidotilapiini,Other,N/A,Derived,,
427,riverine,Chromidotilapiini,Other,N/A,Derived,,
428,riverine,Chromidotilapiini,Other,N/A,Derived,,
429,riverine,Chromidotilapiini,Other,N/A,Derived,,
430,riverine,Chromidotilapiini,Other,N/A,Derived,,
431,riverine,Chromidotilapiini,Other,N/A,Derived,,
432,riverine,Chromidotilapiini,Other,N/A,Derived,,
433,riverine,Chromidotilapiini,Other,N/A,Derived,,
434,riverine,N/A,Other,N/A,Ancestral,,ancestral node
435,riverine,N/A,Other,N/A,Ancestral,,ancestral node
436,riverine,Hemichromini,Other,N/A,Derived,Hemichromini,Root node of Hemichromini
437,riverine,Pelmatochromini,Other,N/A,Derived,Pelmatochromini,Root of Pelmatochromini
438,riverine,Pelmatochromini,Other,N/A,Derived,,
439,riverine,Pelmatochromini,Other,N/A,Derived,,
440,riverine,N/A,Other,N/A,Ancestral,,ancestral node
441,riverine,N/A,Other,N/A,Ancestral,,ancestral node
442,riverine,Coptodonini,Other,N/A,Derived,Coptodonini,Root node of Coptodonini
443,riverine,Coptodonini,Other,N/A,Derived,,
444,riverine,Coptodonini,Other,N/A,Derived,,
445,riverine,Coptodonini,Other,N/A,Derived,,
446,riverine,Coptodonini,Other,N/A,Derived,,
447,riverine,N/A,Other,N/A,Ancestral,,ancestral node
448,riverine,N/A,Other,N/A,Ancestral,,ancestral node
449,riverine,N/A,Other,N/A,Ancestral,,ancestral node
450,LT,N/A,Other,N/A,Ancestral,,ancestral node
451,LT,N/A,Other,N/A,Ancestral,,ancestral node
452,LT,N/A,Other,N/A,Ancestral,,ancestral node
453,LT,N/A,Other,N/A,Ancestral,,ancestral node
454,LT,N/A,Other,N/A,Ancestral,,Divergence between Perissodini and Benthochromini
455,LT,Benthochromini,Other,N/A,Derived,Benthochromini,Root node of Benthochromini
456,LT,Benthochromini,Other,N/A,Derived,,
457,LT,Perissodini,Other,N/A,Derived,Perissodini,Root node of Perissodini
458,LT,Perissodini,Other,N/A,Derived,,
459,LT,Perissodini,Other,N/A,Derived,,
460,LT,Perissodini,Other,N/A,Derived,,
461,LT,Perissodini,Other,N/A,Derived,,
462,LT,Perissodini,Other,N/A,Derived,,
463,LT,Perissodini,Other,N/A,Derived,,
