"","precaudal_count","caudal_count","total_count","ln_pc_ln_c","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width","species_name"
"Divandu albimarginatus","2.54493868054315","2.58347635049997","3.25809653802148","-0.0385376699568143","0.992914444","-0.15367390025","0.62462491375","Divandu albimarginatus"
"Chromidotilapia kingsleyae","2.56365919756592","2.60683647215712","3.27936834584605","-0.0431772745911938","0.939682142","-0.11678387652381","0.570953726285714","Chromidotilapia kingsleyae"
"Teleogramma brichardi","2.57977095189228","2.9829089499571","3.49492304375729","-0.403137998064822","1.74400205473684","0.345344673578947","1.46427597442105","Teleogramma brichardi"
"Teleogramma depressum","2.61586140736282","2.99506731471387","3.51703980617217","-0.379205907351043","2.20231890572","0.6953878086","1.95176434848","Teleogramma depressum"
"Teleogramma gracile","2.64967161753633","2.95211687623508","3.5056577541465","-0.302445258698757","1.99108305153846","0.602140152461539","1.70553178857692","Teleogramma gracile"
"Teleogramma monogramma","2.58674581985969","3.01280508854214","3.51577014376821","-0.426059268682446","1.95657641173333","0.587128241533333","1.66486330046667","Teleogramma monogramma"
"Teleogramma obamaorum","2.51492266516558","3.02012735563871","3.4925462671935","-0.505204690473131","1.589922910625","0.30861891175","1.272715380875","Teleogramma obamaorum"
"Nanochromis nudiceps","2.63735229605967","2.75107588186059","3.38989686443693","-0.113723585800923","1.14828714733333","-0.0609144343333333","0.819114659333333","Nanochromis nudiceps"
"Nanochromis transvestitus","2.54311952809603","2.58516062259437","3.25809653802148","-0.0420410944983431","1.23244757190909","0.119865803636364","0.853125565363636","Nanochromis transvestitus"
"Congochromis squamiceps","2.62423573518451","2.56257546325361","3.28801426364537","0.0616602719309034","1.0911716616","-0.1508432692","0.755664696","Congochromis squamiceps"
"Chromidotilapia cavalliensis","2.56494935746154","2.484906649788","3.2188758248682","0.0800427076735364","1.001185526","-0.0390294955","0.575299054","Chromidotilapia cavalliensis"
"Chromidotilapia guntheri","2.59380856357705","2.60986327997894","3.29567340007113","-0.0160547164018983","0.914331702","-0.1582585003125","0.50928696340625","Chromidotilapia guntheri"
"Benitochromis batesii","2.5026939181599","2.63025476596854","3.26228990779735","-0.12756084780864","0.897462036555556","-0.241377210222222","0.530290918333333","Benitochromis batesii"
"Pelvicachromis subocellatus","2.56494935746154","2.6020033435384","3.27696670201291","-0.0370539860768608","0.8711278405","-0.3598942675","0.5438663835","Pelvicachromis subocellatus"
"Pelvicachromis taeniatus","2.58347635049997","2.62053033657683","3.29583686600433","-0.0370539860768613","1.10959821375","-0.16837500525","0.79108393725","Pelvicachromis taeniatus"
"Pelvicachromis roloffi","2.56494935746154","2.56494935746154","3.25809653802148","0","0.959937409","-0.339394342","0.647707007","Pelvicachromis roloffi"
"Anomalochromis thomasi","2.48821191824007","2.57206341790092","3.2245988037045","-0.0838514996608506","0.77214426815","-0.3748539975","0.40092719705","Anomalochromis thomasi"
