"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"112","Divandu albimarginatus","Divandu","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore",0.519276974927754,-1.59544256111777,0.468686675303327,-0.553282090769082,-0.0333373364269088,-0.0014720092762877,-2.54470176689898e-11
"384","Parananochromis caudifasciatus","Parananochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",0.614078311105973,-0.507147174716486,1.5240974347666,-0.806291561444464,-0.0317181912776397,0.0588602597141441,-2.56365906694674e-11
"59","Chromidotilapia kingsleyae","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",0.387140880233237,-1.25176447517738,0.310300822277523,-0.202602006573893,0.040151904799064,-0.00370378843821841,-2.54280901385271e-11
"507","Teleogramma brichardi","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-3.91419860063576,4.6630308094764,3.60700575647261,-0.741060798187747,0.0165374314860268,0.0536272888305065,-2.55597862432249e-11
"508","Teleogramma depressum","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-6.01131457503138,4.31356582847658,4.63437358887923,-1.3721306330513,-0.0167354222592418,0.0662222176267484,-2.55067481068906e-11
"509","Teleogramma gracile","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-5.40892877533777,3.59452999023508,3.5891813289676,-0.885790702420192,0.0070359077576414,0.0795566221382899,-2.56316231797601e-11
"510","Teleogramma monogramma","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-4.93169862345719,4.90103326364968,4.37614303328662,-0.780560681652688,0.0167400312984428,0.0504982706821863,-2.54902435503806e-11
"511","Teleogramma obamaorum","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-2.9380383798581,5.6298819405372,4.06620715550112,-0.326670587003951,0.0383638569676969,0.00698152103043019,-2.54384835026007e-11
"240","Limbochromis robertsi","Limbochromis","Chromidotilapiini","Other","Riverine","not_applicable","biparental_mouthbrooder","demersal","non-piscivore",0.274674029797002,0.208435101941981,1.51835983144918,-0.218370328314822,-0.0130257722230381,0.0609606210421162,-2.56236706327119e-11
"278","Nanochromis parilus","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-1.64481524694695,0.213257869851186,1.12593380877108,-0.430082313613633,-0.0224635134942203,0.0338983391718866,-2.55359664690732e-11
"277","Nanochromis nudiceps","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-1.45871719443493,0.938868216402645,0.482410035393992,-0.169191810526983,0.0366892310584259,0.0261709781774549,-2.55316929591442e-11
"274","Nanochromis consortus","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-1.54215372924756,1.31994129014512,1.93208403646566,-0.509772013076237,-0.0109056663646242,0.0720002042618581,-2.5659706443166e-11
"279","Nanochromis splendens","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-1.68338958995733,0.317938353359254,2.12578546901816,-0.865453248767855,-0.0226439103123678,0.0624016292480375,-2.55753566839437e-11
"280","Nanochromis transvestitus","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-0.432050143086944,-1.87116350303155,1.34128513009838,-0.727627652338856,-0.0358949991540612,0.00779719739112309,-2.55062600010284e-11
"281","Nanochromis wickleri","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-1.40152701002633,0.767727030375397,1.08138402856745,-0.423960754158488,0.0151371288219937,0.0429284731146248,-2.55469875868121e-11
"61","Congochromis squamiceps","Congochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-0.502754627471835,-2.20824988672044,-0.290827421515019,-0.736723893646617,-0.0447758685080538,-0.0826191652980009,-2.52312298210599e-11
"57","Chromidotilapia cavalliensis","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","paternal_mouthbrooder","demersal","non-piscivore",0.560569432788109,-3.45537937989123,0.051111382743016,-0.463141066284754,-0.0830459343304711,-0.0794513624299957,-2.52902820141752e-11
"58","Chromidotilapia guntheri","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","paternal_mouthbrooder","benthopelagic","non-piscivore",0.265614366439425,-1.23688587766551,-0.148727266560102,-0.0312124593710549,-0.0322087888127471,-0.0185923952749395,-2.547147569826e-11
"30","Benitochromis batesii","Benitochromis","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",1.13436446506856,-0.552816304636996,0.792624513660127,-0.421379869309921,-0.0155098531588335,0.0393144077113317,-2.56001865871908e-11
"392","Pelvicachromis pulcher","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",0.738857501251289,0.19913676334201,0.643375127671948,-0.55955218320031,-0.00287468214756674,0.0412398276751538,-2.56420465113193e-11
"395","Pelvicachromis subocellatus","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","data_deficient",0.787516954410494,-1.11868760807406,-0.198844808205795,-0.556272661972759,-0.0102465267854267,-0.00638807442656755,-2.54829715938419e-11
"396","Pelvicachromis taeniatus","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-0.345383140328165,-1.08836533777372,0.387697142354179,-0.815536546024967,-0.0297538004325986,-0.00523884072343265,-2.54713417334747e-11
"393","Pelvicachromis roloffi","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",0.599975003532416,-1.81250383695024,-0.132738211357205,-0.921002463954044,-0.0446154403750323,-0.0268218922738727,-2.54299726076774e-11
"185","Hemichromis letourneuxi","Hemichromis","Hemichromini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",0.304200965648012,3.00982978975896,1.9155623068524,-0.0683252638059259,0.03107176073857,0.0627399600828832,-2.56154682175634e-11
"8","Anomalochromis thomasi","Anomalochromis","Hemichromini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",1.9581090956037,-1.3757319756638,0.315518917769062,-0.503773038827046,-0.0401896726526699,0.0214498227250655,-2.5577330194451e-11
"456","Pterochromis congicus","Pterochromis","Pelmatochromini","Other","Riverine","not_applicable","data_deficient","demersal","data_deficient",1.8272729527735,-0.857287528748812,-0.252124230629245,-0.251530176363647,-0.043312794421184,0.0110168372770627,-2.55321280683136e-11
"388","Pelmatochromis nigrofasciatus","Pelmatochromis","Pelmatochromini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",1.29066159657948,-1.86477994909754,-0.754358492628674,-0.326940586933542,-0.0154611796939587,-0.0499046541929199,-2.53695404814156e-11
"386","Pelmatochromis buettikoferi","Pelmatochromis","Pelmatochromini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",0.773599725351902,-1.83820779684015,-1.29505167498272,-0.164155813703035,-0.0191332117635878,-0.0788577098071981,-2.52354135129761e-11
"389","Pelmatochromis ocellifer","Pelmatochromis","Pelmatochromini","Other","Riverine","not_applicable","data_deficient","demersal","data_deficient",1.28737312931566,-1.6818646104392,-0.611964860202009,-0.405866633069078,-0.024815919957927,-0.0289277455947165,-2.54271534877883e-11
"72","Coptodon zillii","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-0.161215610170802,-0.636991576352639,-1.61545420309083,0.236524224269177,0.0266370390755025,-0.0700729562331279,-2.52707200980717e-11
"69","Coptodon guineensis","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",0.387306621183712,-0.544140363863738,-1.24921575405434,-0.180004949170011,0.0627743310996129,-0.0388829360708437,-2.53843761263433e-11
"68","Coptodon discolor","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-0.132191040796876,-2.08714755333633,-2.1431469707723,0.0531999918793656,0.0368222033284481,-0.164219403298373,-2.50167577601986e-11
"67","Coptodon dageti","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",0.153326248501343,-1.69335272739634,-1.9982413559276,0.207113620361508,0.0104282531557346,-0.130650290051964,-2.50930028378628e-11
"71","Coptodon tholloni","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",1.17139485961013,-0.378339402143461,-0.414461739754229,-0.0834510213465028,0.0184043968735867,0.0135657564369998,-2.554024654843e-11
"70","Coptodon rendalli","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-0.171665118483869,-0.976417866608783,-2.17962669671412,0.187732124195784,0.0416995363361986,-0.114851409388989,-2.51169193199819e-11
"32","Benthochromis horii","Benthochromis","Benthochromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore",-4.54065198559193,4.29035967902832,-0.926951156995567,0.72728364670391,0.0626657005559187,0.025444146806462,-2.54396065081369e-11
"33","Benthochromis melanoides","Benthochromis","Benthochromini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore",-4.3642954946433,3.57717092691973,-0.79432968770844,0.509249419023691,0.0500579455851699,0.0161815611203229,-2.54023422317577e-11
