"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","PC1","PC2","PC3","PC4","PC5"
"1","Divandu albimarginatus","Divandu","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","pelagic","non-piscivore",0.983308338896768,-1.37578076130316,-0.628621494286103,-0.00363773959371829,2.54425769128228e-11
"2","Chromidotilapia kingsleyae","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",0.731070877166721,-1.06416609236674,-0.334199553032886,-1.1995875646226e-05,2.54328937711103e-11
"3","Teleogramma brichardi","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-2.62374897480747,5.22903407923331,-2.24122044656694,-0.0625354262540487,2.55526356762578e-11
"4","Teleogramma depressum","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-3.78955798721818,5.05141022965541,-3.2726758542099,-0.0811189584877579,2.54923776129458e-11
"5","Teleogramma gracile","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-3.61057569449688,4.13345238159123,-2.48058442549466,-0.0897290149478012,2.56198661425491e-11
"6","Teleogramma monogramma","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-3.18975817509169,5.64566228601697,-2.76704002503147,-0.0597340871874314,2.54832389530317e-11
"7","Teleogramma obamaorum","Teleogramma","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-1.88713515328314,6.38316694864635,-2.21569176977838,-0.0117968074136261,2.54404170334126e-11
"8","Nanochromis nudiceps","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-1.15413775925226,0.9389382459001,-0.323501992393264,-0.0294640083635734,2.55315969934945e-11
"9","Nanochromis transvestitus","Nanochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",0.631224404075505,-1.41677955933844,-1.31348234242358,-0.01466008023244,2.55004863012119e-11
"10","Congochromis squamiceps","Congochromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-0.00168716240735293,-2.27143471359335,-0.34753056567292,0.075583944676847,2.52333227185443e-11
"11","Chromidotilapia cavalliensis","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","paternal_mouthbrooder","demersal","non-piscivore",1.20818624470312,-3.2340316223434,-0.555034997798193,0.0772256197752186,2.52902575353193e-11
"12","Chromidotilapia guntheri","Chromidotilapia","Chromidotilapiini","Other","Riverine","not_applicable","paternal_mouthbrooder","benthopelagic","non-piscivore",0.403386802256446,-1.19257260904707,-0.0478621932946879,0.0194514584489281,2.54704779616885e-11
"13","Benitochromis batesii","Benitochromis","Chromidotilapiini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",1.38652008080376,-0.249952801629651,-0.633224474414756,-0.0434975316449607,2.55935454791632e-11
"14","Pelvicachromis subocellatus","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","data_deficient",0.847975366553267,-1.13582027998592,-0.136714587990629,0.000212437465106252,2.54807803146202e-11
"15","Pelvicachromis taeniatus","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",0.176052489782542,-1.00754468810145,-0.665025365036029,-0.00316292160410817,2.54661324683544e-11
"16","Pelvicachromis roloffi","Pelvicachromis","Chromidotilapiini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",0.892805202677932,-1.81788374931559,-0.404540329232273,0.0176410222258764,2.54252572907492e-11
"17","Anomalochromis thomasi","Anomalochromis","Hemichromini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",2.0359497470647,-1.14224562223812,-0.415705698222109,-0.0257587166713254,2.55698532682931e-11
"18","Pterochromis congicus","Pterochromis","Pelmatochromini","Other","Riverine","not_applicable","data_deficient","demersal","data_deficient",1.5703615138339,-0.821788788565122,0.0630395778412611,-0.0123923354205998,2.5525728846911e-11
"19","Pelmatochromis nigrofasciatus","Pelmatochromis","Pelmatochromini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",1.16386587992398,-1.95804220997667,0.237647905063651,0.0465389966905023,2.5372639417327e-11
"20","Pelmatochromis buettikoferi","Pelmatochromis","Pelmatochromini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",0.5069665897905,-2.11730815901374,0.597828546305015,0.0774166511660055,2.52415737651304e-11
"21","Pelmatochromis ocellifer","Pelmatochromis","Pelmatochromini","Other","Riverine","not_applicable","data_deficient","demersal","data_deficient",1.18469769127397,-1.75211081275043,0.13377053509319,0.0250032409232065,2.54266259838724e-11
"22","Coptodon zillii","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-0.65235828745223,-1.09882740112692,1.02787774404479,0.0715467247405794,2.52814966461566e-11
"23","Coptodon guineensis","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-0.0237162653369442,-0.912780091847036,0.726353906833598,0.0341917025122947,2.53940076299677e-11
"24","Coptodon discolor","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-0.513191529848149,-2.64119941729234,1.15946518297902,0.163075042688701,2.50384260263349e-11
"25","Coptodon dageti","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-0.332617974035988,-2.19597915199345,1.15852909061067,0.132322268795609,2.51089308923509e-11
"26","Coptodon tholloni","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",0.879790179127239,-0.436486261348367,0.272459933020195,-0.0152829880410867,2.55404006073876e-11
"27","Coptodon rendalli","Coptodon","Coptodonini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-0.802079112170779,-1.60485564255519,1.33797573305089,0.115066369103775,2.51335717955972e-11
"28","Orthochromis malagaraziensis","Orthochromis","Basal Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-0.987511777928629,3.64552373101939,-0.961221877866854,-0.0689022552416576,2.562790914721e-11
