"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","precaudal_count","caudal_count","total_count","ln_pc_ln_c","aspect_ratio","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width","n_count"
"1","Abactochromis labrosus","Abactochromis","Haplochromini","Haplochromine","Lake Malawi","Mbuna","maternal_mouthbrooder","demersal","non-piscivore",2.56494935746154,2.77258872223978,3.36729582998647,-0.207639364778244,2.907249538,1.067207458,0.012359682,0.642689473,1
"2","Alcolapia alcalica","Alcolapia","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.55351468493675,2.72529431433144,3.33668292488327,-0.171779629394696,2.84323396257143,1.04351802042857,-0.123323628857143,0.691049551571429,7
"3","Alcolapia grahami","Alcolapia","Oreochromini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.56895954785177,2.69940935147441,3.32991508118167,-0.13044980362264,3.117307845,1.13555314623529,0.0700646606470588,0.733057705352941,17
"4","Alticorpus macrocleithrum","Alticorpus","Haplochromini","Haplochromine","Lake Malawi","Deep Benthic","maternal_mouthbrooder","pelagic","piscivore",2.484906649788,2.92641657207635,3.42305726354415,-0.441509922288348,2.43615194,0.888743339,-0.158075238,0.489637199333333,3
"5","Altolamprologus calvus","Altolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",2.55694508669418,2.8900626386392,3.43070822220285,-0.333117551945014,2.6113779944,0.9594520509,-0.1478229171,0.5710621602,10
"6","Altolamprologus compressiceps","Altolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",2.5563516131422,2.89546936076622,3.4338830920343,-0.339117747624023,2.4612023852,0.9001092273,-0.1737690613,0.5017910051,10
"7","Altolamprologus sp. ""compressiceps shell""","Altolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",2.484906649788,2.8900626386392,3.40108620877689,-0.405155988851197,2.7850608746,1.0238383094,0.005092444,0.5868374178,10
"8","Anomalochromis thomasi","Anomalochromis","Hemichromini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",2.48821191824007,2.57206341790092,3.2245988037045,-0.0838514996608506,2.16515189255,0.77214426815,-0.3748539975,0.40092719705,20
"9","Asprotilapia leptura","Asprotilapia","Ectodini","Other","Lake Tanganyika","not_applicable","biparental_mouthbrooder","demersal","non-piscivore",2.71522114789527,3.08564375683621,3.61083672074356,-0.370422608940937,4.43514661288889,1.48933925911111,0.170360775888889,1.20134512344444,9
"10","Astatoreochromis alluaudi","Astatoreochromis","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.53826845490369,2.85226614866953,3.40119738166216,-0.313997693765841,2.498644271,0.913874919666667,-0.280224834333333,0.560064090666667,3
"11","Astatoreochromis straeleni","Astatoreochromis","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.56494935746154,2.84216204503346,3.40647706399054,-0.277212687571923,2.64506537533333,0.972246379,-0.238628668666667,0.633712367166667,6
"12","Astatotilapia bloyeti","Astatotilapia","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.484906649788,2.83321334405622,3.36729582998647,-0.348306694268216,2.621761377,0.963846373,-0.217954461,0.620983971,1
"13","Astatotilapia burtoni","Astatotilapia","Haplochromini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.51921066736237,2.76280980503139,3.34223060154985,-0.243599137669021,2.35287998971429,0.855255887571429,-0.37084175,0.522733709571429,7
"14","Astatotilapia calliptera","Astatotilapia","Haplochromini","Haplochromine","Lake Malawi","Astatotilapia","maternal_mouthbrooder","benthopelagic","non-piscivore",2.5656247883218,2.8150028409303,3.39158226744536,-0.249378052608507,2.814561322625,1.03084012055357,-0.14968800775,0.678754049535714,57
"15","Astatotilapia gigliolii","Astatotilapia","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.56494935746154,2.77258872223978,3.36729582998647,-0.207639364778244,2.8370333255,1.0427497775,-0.188838615,0.7082012755,2
"16","Astatotilapia paludinosa","Astatotilapia","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.55494401900234,2.78750025898632,3.37145916343746,-0.232556239983974,2.7220842905625,0.999798977625,-0.099485599125,0.6076763776875,16
"17","Astatotilapia sp. ""mkuti""","Astatotilapia","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.5563516131422,2.802901033148,3.38085645065675,-0.246549420005797,2.8461250196,1.0457133531,-0.1063553859,0.6770333799,10
"18","Astatotilapia sp. 'Ruaha blue'","Astatotilapia","Basal Modern Haplochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.56494935746154,2.802901033148,3.38424660582431,-0.237951675686462,2.707517819,0.9958638405,-0.268715845,0.6717540385,2
"19","Astatotilapia stappersii","Astatotilapia","Haplochromini","Haplochromine","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.52492800362477,2.802901033148,3.36709753529721,-0.27797302952323,2.5104843204,0.9185770832,-0.2675227078,0.5655025118,6
"20","Aulonocara trematocephalum","Aulonocara","Haplochromini","Haplochromine","Lake Malawi","Deep Benthic","maternal_mouthbrooder","benthopelagic","non-piscivore",2.63905732961526,2.94443897916644,3.49650756146648,-0.305381649551182,3.104667534,1.132906635,-0.073371849,0.789958913,1
"21","Aulonocranus dewindti","Aulonocranus","Ectodini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",2.64195104838804,2.89618710288625,3.47072327365745,-0.254236054498216,2.90202924811765,1.06289485382353,-0.0479612887647059,0.674338474117647,17
"22","Baileychromis centropomoides","Baileychromis","Limnochromini","Other","Lake Tanganyika","not_applicable","data_deficient","pelagic","non-piscivore",2.70038432649255,2.92010088894824,3.50977554508856,-0.219716562455688,4.49704622366667,1.502436672,0.314366614888889,1.14339701422222,9
"23","Bathybates fasciatus","Bathybates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore",2.88628901405045,3.0908947209966,3.68707103925792,-0.204605706946144,4.96575817721429,1.60165419635714,0.307919099785714,1.28256357514286,14
"24","Bathybates ferox","Bathybates","Bathybatini","Other","Lake Tanganyika","not_applicable","maternal_mouthbrooder","pelagic","piscivore",2.70805020110221,3.00061128997093,3.55816514918608,-0.292561088868724,4.1446329325,1.4216710329,0.2418181294,1.0593530307,10
