Column1,model,regime,median_weight,min_weight,max_weight
1,BM1,depth,5.61E-160,1.35E-248,3.54E-159
6,BMS,depth,6.60E-147,4.66E-236,1.35E-142
11,OU1,depth,3.07E-79,7.37E-168,1.94E-78
16,OUM,depth,6.69E-67,2.06E-155,4.92E-65
21,OUMA,depth,5.77E-130,5.83E-220,7.59E-119
26,OUMV,depth,6.37E-69,2.48E-157,2.83E-65
31,OUMVA,depth,1.75E-106,1.97E-165,1
2,BM1,piscivore,5.61E-160,1.35E-248,3.54E-159
7,BMS,piscivore,2.86E-135,1.39E-231,6.84E-116
12,OU1,piscivore,3.07E-79,7.37E-168,1.94E-78
17,OUM,piscivore,2.04E-73,1.68E-158,8.65E-71
22,OUMA,piscivore,2.22E-81,1.35E-131,2.47E-69
27,OUMV,piscivore,1.24E-73,1.78E-157,5.92E-67
32,OUMVA,piscivore,1.50E-78,1.77E-112,1
3,BM1,riverine_lacustrine,5.61E-160,1.35E-248,3.54E-159
8,BMS,riverine_lacustrine,5.48E-120,1.58E-208,1.19E-118
13,OU1,riverine_lacustrine,3.07E-79,7.37E-168,1.94E-78
18,OUM,riverine_lacustrine,1.04E-52,2.72E-141,5.64E-52
23,OUMA,riverine_lacustrine,1.71E-77,5.32E-159,8.28E-63
28,OUMV,riverine_lacustrine,5.76E-51,1.43E-139,3.19E-50
33,OUMVA,riverine_lacustrine,2.46E-57,3.45E-149,7.08E-40
4,BM1,tribe,5.61E-160,1.35E-248,3.54E-159
9,BMS,tribe,2.25E-46,5.69E-135,1.49E-45
14,OU1,tribe,3.07E-79,7.37E-168,1.94E-78
19,OUM,tribe,1.22E-39,2.93E-128,7.69E-39
24,OUMA,tribe,1.00E-41,4.69E-130,1.02E-40
29,OUMV,tribe,7.23E-44,1.65E-132,4.40E-43
34,OUMVA,tribe,2.34E-45,2.19E-135,1.12E-32
5,BM1,water_system,5.61E-160,1.35E-248,3.54E-159
10,BMS,water_system,0.000457727,6.74E-93,0.001724571
15,OU1,water_system,3.07E-79,7.37E-168,1.94E-78
20,OUM,water_system,1.94E-47,3.68E-136,3.54E-46
25,OUMA,water_system,0.148442854,1.01E-89,0.845763026
30,OUMV,water_system,0.809661329,1.49E-89,0.9992047
35,OUMVA,water_system,0.000415323,1.75E-92,0.185121297
,,,,,
,,,,,
,,,0.96,,
