"","tree","model","AICc","regime"
"1",1,"BMS",-585.779469599154,"depth"
"2",1,"OUM",-964.153990300987,"depth"
"3",1,"OUMV",-961.85923924464,"depth"
"4",1,"OUMA",-661.247053987632,"depth"
"5",1,"OUMVA",-716.258880357767,"depth"
"6",2,"BMS",-596.051253325632,"depth"
"7",2,"OUM",-966.179137860535,"depth"
"8",2,"OUMV",-953.341789564695,"depth"
"9",2,"OUMA",-681.526524860617,"depth"
"10",2,"OUMVA",-812.007370937291,"depth"
"11",3,"BMS",-588.399908533275,"depth"
"12",3,"OUM",-970.019415536397,"depth"
"13",3,"OUMV",-972.111443017771,"depth"
"14",3,"OUMA",-684.198091807284,"depth"
"15",3,"OUMVA",-724.564152979409,"depth"
"16",4,"BMS",-591.541224234682,"depth"
"17",4,"OUM",-965.425796696859,"depth"
"18",4,"OUMV",-954.844662998126,"depth"
"19",4,"OUMA",-667.1982526784,"depth"
"20",4,"OUMVA",-823.566991856871,"depth"
"21",5,"BM1",-538.204406872631,"depth"
"22",5,"OU1",-910.01875413342,"depth"
"23",5,"BMS",-602.118321077011,"depth"
"24",5,"OUM",-969.098410738224,"depth"
"25",5,"OUMV",-957.644025810799,"depth"
"26",5,"OUMA",-715.609695524118,"depth"
"27",5,"OUMVA",-876.850186672732,"depth"
"28",6,"BMS",-599.069441285732,"depth"
"29",6,"OUM",-963.96908717513,"depth"
"30",6,"OUMV",-949.508075092948,"depth"
"31",6,"OUMA",-697.130470166544,"depth"
"32",7,"BMS",-596.222798067852,"depth"
"33",7,"OUM",-966.38805852207,"depth"
"34",7,"OUMV",-949.800783501761,"depth"
"35",8,"BMS",-598.899300070014,"depth"
"36",8,"OUM",-970.317787045055,"depth"
"37",8,"OUMV",-965.845829846783,"depth"
"38",8,"OUMA",-680.75247452982,"depth"
"39",8,"OUMVA",-912.017169675909,"depth"
"40",9,"BMS",-607.883533504006,"depth"
"41",9,"OUM",-968.131206824212,"depth"
"42",9,"OUMV",-961.921793255944,"depth"
"43",9,"OUMA",-705.177600106596,"depth"
"44",9,"OUMVA",-795.987595122152,"depth"
"45",10,"BMS",-603.398457641993,"depth"
"46",10,"OUM",-966.55005527603,"depth"
"47",10,"OUMV",-952.185976230142,"depth"
"48",10,"OUMA",-654.7987862947,"depth"
"49",10,"OUMVA",-708.629175519818,"depth"
"50",11,"BMS",-592.590719756803,"depth"
"51",11,"OUM",-968.299183343746,"depth"
"52",11,"OUMV",-959.076597190215,"depth"
"53",11,"OUMA",-665.31285892092,"depth"
"54",11,"OUMVA",-723.045541291222,"depth"
"55",12,"BMS",-592.205259388651,"depth"
"56",12,"OUM",-963.114784580616,"depth"
"57",12,"OUMV",-950.790116837716,"depth"
"58",12,"OUMA",-683.657804378353,"depth"
"59",13,"BMS",-592.063473256085,"depth"
