"","tree","model","AICc","regime"
"1",1,"BMS",-713.460667227226,"piscivore"
"2",1,"OUM",-940.271675913633,"piscivore"
"3",1,"OUMV",-916.711435421652,"piscivore"
"4",1,"OUMA",-706.43567711254,"piscivore"
"5",1,"OUMVA",-915.686281122494,"piscivore"
"6",2,"BMS",-558.502907110053,"piscivore"
"7",2,"OUM",-934.081430108001,"piscivore"
"8",2,"OUMV",-940.752100330314,"piscivore"
"9",3,"BMS",-700.823486462151,"piscivore"
"10",3,"OUM",-934.312278847893,"piscivore"
"11",3,"OUMV",-914.052135819327,"piscivore"
"12",3,"OUMA",-713.618316222652,"piscivore"
"13",3,"OUMVA",-910.245662312308,"piscivore"
"14",4,"BMS",-554.537639098574,"piscivore"
"15",4,"OUM",-939.202237562481,"piscivore"
"16",4,"OUMV",-944.567050414242,"piscivore"
"17",4,"OUMA",-907.832569890375,"piscivore"
"18",4,"OUMVA",-931.402141341367,"piscivore"
"19",5,"BM1",-538.204406871294,"piscivore"
"20",5,"OU1",-910.018754133412,"piscivore"
"21",5,"BMS",-693.563205497246,"piscivore"
"22",5,"OUM",-931.583123262883,"piscivore"
"23",5,"OUMV",-915.241612138533,"piscivore"
"24",6,"BMS",-565.208259291353,"piscivore"
"25",6,"OUM",-940.29513151553,"piscivore"
"26",6,"OUMV",-951.356978252367,"piscivore"
"27",6,"OUMA",-940.804533566888,"piscivore"
"28",7,"BMS",-711.941861849753,"piscivore"
"29",7,"OUM",-938.587166216456,"piscivore"
"30",7,"OUMV",-927.232062216499,"piscivore"
"31",7,"OUMA",-928.520763310839,"piscivore"
"32",7,"OUMVA",-916.740796506038,"piscivore"
"33",8,"BMS",-733.006649158689,"piscivore"
"34",8,"OUM",-930.511444295857,"piscivore"
"35",8,"OUMV",-931.99429413461,"piscivore"
"36",8,"OUMA",-928.485614953233,"piscivore"
"37",8,"OUMVA",-929.86440984532,"piscivore"
"38",9,"BMS",-716.870939053954,"piscivore"
"39",9,"OUM",-937.208671018316,"piscivore"
"40",9,"OUMV",-932.893765348768,"piscivore"
"41",9,"OUMA",-919.511451003028,"piscivore"
"42",9,"OUMVA",-923.568239129581,"piscivore"
"43",10,"BMS",-552.035030213677,"piscivore"
"44",10,"OUM",-927.848718739293,"piscivore"
"45",10,"OUMV",-928.983758257849,"piscivore"
"46",10,"OUMA",-903.158145859214,"piscivore"
"47",10,"OUMVA",-897.273827401977,"piscivore"
"48",11,"BMS",-729.025220368839,"piscivore"
"49",11,"OUM",-940.223046461571,"piscivore"
"50",11,"OUMV",-934.325888115537,"piscivore"
"51",11,"OUMA",-939.390442051401,"piscivore"
"52",11,"OUMVA",-993.297739764059,"piscivore"
"53",12,"BMS",-595.687447862858,"piscivore"
"54",12,"OUM",-935.702697098052,"piscivore"
"55",12,"OUMV",-938.124324511199,"piscivore"
"56",12,"OUMA",-860.149813634575,"piscivore"
"57",13,"BMS",-549.081004511977,"piscivore"
"58",13,"OUM",-934.252321675045,"piscivore"
"59",13,"OUMV",-939.712425899472,"piscivore"
"60",13,"OUMA",-888.599521284769,"piscivore"
"61",13,"OUMVA",-883.616288441108,"piscivore"
"62",14,"BMS",-561.487950939381,"piscivore"
"63",14,"OUM",-937.036952093087,"piscivore"
"64",14,"OUMV",-937.633261939009,"piscivore"
"65",14,"OUMA",-925.799603140559,"piscivore"
"66",14,"OUMVA",-911.691817823388,"piscivore"
"67",15,"BMS",-540.95920045184,"piscivore"
"68",15,"OUM",-950.313833897902,"piscivore"
"69",15,"OUMV",-962.252714241554,"piscivore"
"70",15,"OUMA",-916.771878145653,"piscivore"
"71",16,"BMS",-548.134074205622,"piscivore"
"72",16,"OUM",-946.148478984343,"piscivore"
"73",16,"OUMV",-965.038987011375,"piscivore"
"74",16,"OUMA",-954.081948468253,"piscivore"
"75",16,"OUMVA",-946.796304844198,"piscivore"
"76",17,"BMS",-724.066186383273,"piscivore"
"77",17,"OUM",-946.630035748262,"piscivore"
"78",17,"OUMV",-934.299897231069,"piscivore"
"79",17,"OUMA",-926.843494232624,"piscivore"
"80",17,"OUMVA",-932.70403504034,"piscivore"
"81",18,"BMS",-698.400768667897,"piscivore"
"82",18,"OUM",-928.905788899775,"piscivore"
"83",18,"OUMV",-910.969863972129,"piscivore"
"84",18,"OUMA",-700.528930050617,"piscivore"
"85",18,"OUMVA",-909.407566093351,"piscivore"
"86",19,"BMS",-578.762686053475,"piscivore"
"87",19,"OUM",-936.547365032248,"piscivore"
"88",19,"OUMV",-941.32788006392,"piscivore"
"89",19,"OUMA",-883.630074429121,"piscivore"
"90",19,"OUMVA",-905.802494595937,"piscivore"
"91",20,"BMS",-551.315653778151,"piscivore"
"92",20,"OUM",-942.087856898375,"piscivore"
"93",20,"OUMV",-948.587426972878,"piscivore"
"94",20,"OUMA",-910.003170475478,"piscivore"
"95",20,"OUMVA",-918.389286007805,"piscivore"
"96",21,"BMS",-555.887588118253,"piscivore"
"97",21,"OUM",-938.530378460515,"piscivore"
"98",21,"OUMV",-941.778361973997,"piscivore"
"99",21,"OUMA",-896.021813459437,"piscivore"
"100",21,"OUMVA",-879.463259245328,"piscivore"
"101",22,"BMS",-572.570909197169,"piscivore"
"102",22,"OUM",-936.657592807536,"piscivore"
"103",22,"OUMV",-942.666977365705,"piscivore"
"104",22,"OUMA",-868.483125418583,"piscivore"
"105",22,"OUMVA",-875.046758607263,"piscivore"
"106",23,"BMS",-539.498624397237,"piscivore"
"107",23,"OUM",-940.006280307327,"piscivore"
"108",23,"OUMV",-943.025602425564,"piscivore"
"109",23,"OUMA",-899.899168597425,"piscivore"
"110",23,"OUMVA",-906.370801404104,"piscivore"
"111",24,"BMS",-651.79363292362,"piscivore"
"112",24,"OUM",-929.565733272277,"piscivore"
"113",24,"OUMV",-929.019291744817,"piscivore"
"114",24,"OUMA",-673.987792128123,"piscivore"
"115",25,"BMS",-552.156107084351,"piscivore"
"116",25,"OUM",-943.271850640741,"piscivore"
"117",25,"OUMV",-953.817320063003,"piscivore"
"118",25,"OUMVA",-755.10011436948,"piscivore"
"119",26,"BMS",-708.189218521859,"piscivore"
"120",26,"OUM",-942.327465886374,"piscivore"
"121",26,"OUMV",-930.714684277194,"piscivore"
"122",26,"OUMA",-927.38750136347,"piscivore"
"123",26,"OUMVA",-930.199492588424,"piscivore"
"124",27,"BMS",-608.803838872041,"piscivore"
"125",27,"OUM",-930.13676280517,"piscivore"
"126",27,"OUMV",-929.643146624145,"piscivore"
"127",27,"OUMA",-883.645314633574,"piscivore"
"128",27,"OUMVA",-887.821149162569,"piscivore"
"129",28,"BMS",-697.056543394466,"piscivore"
"130",28,"OUM",-940.172699878509,"piscivore"
"131",28,"OUMV",-940.773219357342,"piscivore"
"132",28,"OUMA",-694.51110971112,"piscivore"
"133",28,"OUMVA",-930.102139232333,"piscivore"
"134",29,"BMS",-604.841550122055,"piscivore"
"135",29,"OUM",-932.517689711168,"piscivore"
"136",29,"OUMV",-933.478082640337,"piscivore"
"137",29,"OUMA",-881.420532159174,"piscivore"
"138",30,"BMS",-604.684717277264,"piscivore"
"139",30,"OUM",-945.510738880432,"piscivore"
"140",30,"OUMV",-949.990731141068,"piscivore"
"141",30,"OUMA",-860.491758442863,"piscivore"
"142",30,"OUMVA",-877.331151271784,"piscivore"
"143",31,"BMS",-555.294678753582,"piscivore"
"144",31,"OUM",-933.69325857115,"piscivore"
"145",31,"OUMV",-940.987638713868,"piscivore"
"146",31,"OUMA",-919.607260160081,"piscivore"
"147",31,"OUMVA",-919.912765172872,"piscivore"
"148",32,"BMS",-653.072013957319,"piscivore"
"149",32,"OUM",-930.193805636892,"piscivore"
"150",32,"OUMV",-916.946097865624,"piscivore"
"151",32,"OUMA",-903.8057841253,"piscivore"
"152",32,"OUMVA",-916.105155840697,"piscivore"
