"","tree","model","AICc","regime"
"1",1,"BMS",-724.06672977722,"riverine_lacustrine"
"2",1,"OUM",-1031.90863413614,"riverine_lacustrine"
"3",1,"OUMV",-1039.97480508939,"riverine_lacustrine"
"4",1,"OUMA",-926.825229626709,"riverine_lacustrine"
"5",1,"OUMVA",-1011.19998217968,"riverine_lacustrine"
"6",2,"BMS",-720.883695246796,"riverine_lacustrine"
"7",2,"OUM",-1032.11189395527,"riverine_lacustrine"
"8",2,"OUMV",-1040.20791712913,"riverine_lacustrine"
"9",2,"OUMA",-983.714862166967,"riverine_lacustrine"
"10",2,"OUMVA",-977.338499772676,"riverine_lacustrine"
"11",3,"BMS",-723.518409441425,"riverine_lacustrine"
"12",3,"OUM",-1031.88519363278,"riverine_lacustrine"
"13",3,"OUMV",-1039.95361411812,"riverine_lacustrine"
"14",3,"OUMA",-914.286032032987,"riverine_lacustrine"
"15",3,"OUMVA",-1009.85038608914,"riverine_lacustrine"
"16",4,"BMS",-710.750093085318,"riverine_lacustrine"
"17",4,"OUM",-1032.19394269329,"riverine_lacustrine"
"18",4,"OUMV",-1040.3429017382,"riverine_lacustrine"
"19",4,"OUMVA",-962.806222444578,"riverine_lacustrine"
"20",5,"BM1",-538.204406872631,"riverine_lacustrine"
"21",5,"OU1",-910.01875413342,"riverine_lacustrine"
"22",5,"BMS",-720.549658801601,"riverine_lacustrine"
"23",5,"OUM",-1032.16068676734,"riverine_lacustrine"
"24",5,"OUMV",-1040.17551273672,"riverine_lacustrine"
"25",5,"OUMA",-905.883910945777,"riverine_lacustrine"
"26",5,"OUMVA",-960.21767983991,"riverine_lacustrine"
"27",6,"BMS",-719.139906771654,"riverine_lacustrine"
"28",6,"OUM",-1032.19425156917,"riverine_lacustrine"
"29",6,"OUMV",-1040.17149921297,"riverine_lacustrine"
"30",6,"OUMA",-976.252702939152,"riverine_lacustrine"
"31",6,"OUMVA",-990.519437709503,"riverine_lacustrine"
"32",7,"BMS",-721.315524012538,"riverine_lacustrine"
"33",7,"OUM",-1031.88515122289,"riverine_lacustrine"
"34",7,"OUMV",-1039.95358421347,"riverine_lacustrine"
"35",7,"OUMA",-931.563978397688,"riverine_lacustrine"
"36",7,"OUMVA",-1036.63532510501,"riverine_lacustrine"
"37",8,"BMS",-722.317225706472,"riverine_lacustrine"
"38",8,"OUM",-1031.81296704669,"riverine_lacustrine"
"39",8,"OUMV",-1039.94849246227,"riverine_lacustrine"
"40",8,"OUMA",-913.939114678808,"riverine_lacustrine"
"41",8,"OUMVA",-991.166310837258,"riverine_lacustrine"
"42",9,"BMS",-717.888713150558,"riverine_lacustrine"
"43",9,"OUM",-1033.82510407846,"riverine_lacustrine"
"44",9,"OUMV",-1041.48756957626,"riverine_lacustrine"
"45",9,"OUMVA",-1013.60764590876,"riverine_lacustrine"
"46",10,"BMS",-720.397318332932,"riverine_lacustrine"
"47",10,"OUM",-1031.89677137047,"riverine_lacustrine"
"48",10,"OUMV",-1039.96610814755,"riverine_lacustrine"
"49",10,"OUMA",-924.858280054806,"riverine_lacustrine"
"50",10,"OUMVA",-969.10329901479,"riverine_lacustrine"
"51",11,"BMS",-722.991044304231,"riverine_lacustrine"
"52",11,"OUM",-1031.88497083173,"riverine_lacustrine"
"53",11,"OUMV",-1039.95422660884,"riverine_lacustrine"
"54",11,"OUMA",-949.963069033309,"riverine_lacustrine"
"55",11,"OUMVA",-1017.4367408578,"riverine_lacustrine"
"56",12,"BMS",-722.977381919925,"riverine_lacustrine"
"57",12,"OUM",-1031.85855422724,"riverine_lacustrine"
"58",12,"OUMV",-1039.96792220022,"riverine_lacustrine"
"59",12,"OUMA",-912.187365820526,"riverine_lacustrine"
"60",12,"OUMVA",-994.053771244044,"riverine_lacustrine"
"61",13,"BMS",-725.269161561097,"riverine_lacustrine"
"62",13,"OUM",-1032.30621510914,"riverine_lacustrine"
"63",13,"OUMV",-1040.39601368598,"riverine_lacustrine"
"64",13,"OUMA",-919.405946724987,"riverine_lacustrine"
"65",13,"OUMVA",-1054.9439907565,"riverine_lacustrine"
"66",14,"BMS",-721.326661549332,"riverine_lacustrine"
"67",14,"OUM",-1031.92805555215,"riverine_lacustrine"
"68",14,"OUMV",-1039.98528053305,"riverine_lacustrine"
"69",14,"OUMA",-905.638068493172,"riverine_lacustrine"
"70",14,"OUMVA",-983.247375981795,"riverine_lacustrine"
"71",15,"BMS",-724.952120784655,"riverine_lacustrine"
"72",15,"OUM",-1031.88555616558,"riverine_lacustrine"
"73",15,"OUMV",-1039.95387005297,"riverine_lacustrine"
"74",15,"OUMA",-934.230475864708,"riverine_lacustrine"
"75",15,"OUMVA",-1033.4509065909,"riverine_lacustrine"
"76",16,"BMS",-722.750427623228,"riverine_lacustrine"
"77",16,"OUM",-1032.11284039552,"riverine_lacustrine"
"78",16,"OUMV",-1039.95403940288,"riverine_lacustrine"
"79",16,"OUMA",-937.122221713965,"riverine_lacustrine"
"80",16,"OUMVA",-998.078720056075,"riverine_lacustrine"
"81",17,"BMS",-726.096307581598,"riverine_lacustrine"
"82",17,"OUM",-1032.30006055373,"riverine_lacustrine"
"83",17,"OUMV",-1040.26805882916,"riverine_lacustrine"
"84",17,"OUMA",-903.079076819537,"riverine_lacustrine"
"85",17,"OUMVA",-1039.44026032569,"riverine_lacustrine"
"86",18,"BMS",-725.089802052399,"riverine_lacustrine"
"87",18,"OUM",-1031.94656287899,"riverine_lacustrine"
"88",18,"OUMV",-1040.00576525779,"riverine_lacustrine"
"89",18,"OUMA",-922.521453211341,"riverine_lacustrine"
"90",18,"OUMVA",-1007.1728736847,"riverine_lacustrine"
"91",19,"BMS",-718.528933203131,"riverine_lacustrine"
"92",19,"OUM",-1031.95349604045,"riverine_lacustrine"
"93",19,"OUMV",-1040.00227381495,"riverine_lacustrine"
"94",19,"OUMA",-915.484226828146,"riverine_lacustrine"
"95",19,"OUMVA",-1006.58101519077,"riverine_lacustrine"
"96",20,"BMS",-721.398413665391,"riverine_lacustrine"
"97",20,"OUM",-1031.91544387259,"riverine_lacustrine"
"98",20,"OUMV",-1039.98334351022,"riverine_lacustrine"
"99",20,"OUMA",-918.566761383493,"riverine_lacustrine"
"100",20,"OUMVA",-996.289698062154,"riverine_lacustrine"
"101",21,"BMS",-721.282098553464,"riverine_lacustrine"
"102",21,"OUM",-1031.88520819659,"riverine_lacustrine"
"103",21,"OUMV",-1039.95364949784,"riverine_lacustrine"
"104",21,"OUMVA",-1023.64835838866,"riverine_lacustrine"
"105",22,"BMS",-721.524344854609,"riverine_lacustrine"
"106",22,"OUM",-1031.8870970283,"riverine_lacustrine"
"107",22,"OUMV",-1039.95497211166,"riverine_lacustrine"
"108",22,"OUMA",-927.426797989228,"riverine_lacustrine"
"109",22,"OUMVA",-1001.85465897696,"riverine_lacustrine"
"110",23,"BMS",-722.310608647733,"riverine_lacustrine"
"111",23,"OUM",-1032.23155910619,"riverine_lacustrine"
"112",23,"OUMV",-1040.19772161726,"riverine_lacustrine"
"113",23,"OUMA",-892.60115393072,"riverine_lacustrine"
"114",23,"OUMVA",-993.38041260994,"riverine_lacustrine"
"115",24,"BMS",-719.79168234044,"riverine_lacustrine"
"116",24,"OUM",-1031.88590770208,"riverine_lacustrine"
"117",24,"OUMV",-1039.95445938121,"riverine_lacustrine"
"118",24,"OUMA",-924.882742652316,"riverine_lacustrine"
"119",24,"OUMVA",-916.431387775672,"riverine_lacustrine"
"120",25,"BMS",-724.400196416494,"riverine_lacustrine"
"121",25,"OUM",-1031.88515255483,"riverine_lacustrine"
"122",25,"OUMV",-1039.95358514144,"riverine_lacustrine"
"123",25,"OUMA",-904.675679154044,"riverine_lacustrine"
"124",25,"OUMVA",-999.160750745311,"riverine_lacustrine"
"125",26,"BMS",-722.590771633658,"riverine_lacustrine"
"126",26,"OUM",-1031.88616421669,"riverine_lacustrine"
"127",26,"OUMV",-1039.95540392231,"riverine_lacustrine"
"128",26,"OUMA",-810.865897082437,"riverine_lacustrine"
"129",26,"OUMVA",-1002.95411435773,"riverine_lacustrine"
"130",27,"BMS",-724.26188298312,"riverine_lacustrine"
"131",27,"OUM",-1031.88490637314,"riverine_lacustrine"
"132",27,"OUMV",-1039.95403343208,"riverine_lacustrine"
"133",27,"OUMVA",-1016.16053847596,"riverine_lacustrine"
"134",28,"BMS",-723.993280498267,"riverine_lacustrine"
"135",28,"OUM",-1031.9006958317,"riverine_lacustrine"
"136",28,"OUMV",-1039.97064722136,"riverine_lacustrine"
"137",28,"OUMA",-896.000393066413,"riverine_lacustrine"
"138",28,"OUMVA",-1004.14011926315,"riverine_lacustrine"
"139",29,"BMS",-723.653251359589,"riverine_lacustrine"
"140",29,"OUM",-1031.89773943251,"riverine_lacustrine"
"141",29,"OUMV",-1039.96820233167,"riverine_lacustrine"
"142",29,"OUMA",-904.417798243158,"riverine_lacustrine"
"143",29,"OUMVA",-991.102393142092,"riverine_lacustrine"
"144",30,"BMS",-724.335111506553,"riverine_lacustrine"
"145",30,"OUM",-1030.78139960953,"riverine_lacustrine"
"146",30,"OUMV",-1039.19378668971,"riverine_lacustrine"
"147",30,"OUMA",-954.845485895493,"riverine_lacustrine"
"148",30,"OUMVA",-1012.16260580859,"riverine_lacustrine"
"149",31,"BMS",-723.795337688618,"riverine_lacustrine"
"150",31,"OUM",-1031.92071617052,"riverine_lacustrine"
"151",31,"OUMV",-1039.9864979929,"riverine_lacustrine"
"152",31,"OUMA",-931.662715016801,"riverine_lacustrine"
"153",31,"OUMVA",-1042.23511457706,"riverine_lacustrine"
"154",32,"BMS",-715.388804821456,"riverine_lacustrine"
"155",32,"OUM",-1032.14779046449,"riverine_lacustrine"
"156",32,"OUMV",-1040.24129217686,"riverine_lacustrine"
"157",32,"OUMA",-921.656067761823,"riverine_lacustrine"
"158",32,"OUMVA",-933.032663314599,"riverine_lacustrine"
"159",33,"BMS",-723.140371384652,"riverine_lacustrine"
"160",33,"OUM",-1033.32893915377,"riverine_lacustrine"
"161",33,"OUMV",-1041.07711569421,"riverine_lacustrine"
"162",33,"OUMA",-916.296644063782,"riverine_lacustrine"
"163",33,"OUMVA",-1023.3814761588,"riverine_lacustrine"
"164",34,"BMS",-717.338400285599,"riverine_lacustrine"
"165",34,"OUM",-1031.54743605183,"riverine_lacustrine"
"166",34,"OUMV",-1039.80945564767,"riverine_lacustrine"
"167",34,"OUMVA",-986.678431494894,"riverine_lacustrine"
"168",35,"BMS",-722.543736089122,"riverine_lacustrine"
"169",35,"OUM",-1031.89189712298,"riverine_lacustrine"
"170",35,"OUMV",-1039.95907488822,"riverine_lacustrine"
"171",35,"OUMA",-907.661410687042,"riverine_lacustrine"
"172",35,"OUMVA",-1004.12263385005,"riverine_lacustrine"
"173",36,"BMS",-722.257285932794,"riverine_lacustrine"
"174",36,"OUM",-1032.2885969093,"riverine_lacustrine"
"175",36,"OUMV",-1040.23881173948,"riverine_lacustrine"
"176",36,"OUMA",-921.615164232865,"riverine_lacustrine"
"177",36,"OUMVA",-976.895630508143,"riverine_lacustrine"
"178",37,"BMS",-723.361040114333,"riverine_lacustrine"
"179",37,"OUM",-1031.90545295199,"riverine_lacustrine"
"180",37,"OUMV",-1039.97620775977,"riverine_lacustrine"
"181",37,"OUMA",-955.084098191029,"riverine_lacustrine"
"182",37,"OUMVA",-1022.85529790708,"riverine_lacustrine"
"183",38,"BMS",-723.074883238774,"riverine_lacustrine"
"184",38,"OUM",-1031.47960840304,"riverine_lacustrine"
"185",38,"OUMV",-1039.76826179517,"riverine_lacustrine"
"186",38,"OUMA",-900.01335912318,"riverine_lacustrine"
"187",38,"OUMVA",-1026.99123733461,"riverine_lacustrine"
"188",39,"BMS",-722.120586948809,"riverine_lacustrine"
"189",39,"OUM",-1032.01059112713,"riverine_lacustrine"
"190",39,"OUMV",-1040.04226680329,"riverine_lacustrine"
"191",39,"OUMA",-937.716229514611,"riverine_lacustrine"
"192",39,"OUMVA",-1006.15237000276,"riverine_lacustrine"
"193",40,"BMS",-720.61842954907,"riverine_lacustrine"
"194",40,"OUM",-1032.21176388291,"riverine_lacustrine"
"195",40,"OUMV",-1040.3122119589,"riverine_lacustrine"
"196",40,"OUMA",-904.275103254763,"riverine_lacustrine"
