"","tree","model","AICc","regime"
"1",1,"BMS",-1061.46222207069,"tribe"
"2",1,"OUM",-1092.37737909416,"tribe"
"3",1,"OUMV",-1073.07323968635,"tribe"
"4",1,"OUMA",-1083.94273931886,"tribe"
"5",1,"OUMVA",-1064.52308419451,"tribe"
"6",2,"BMS",-1061.38458947421,"tribe"
"7",2,"OUM",-1092.37737909416,"tribe"
"8",2,"OUMV",-1072.69936414216,"tribe"
"9",2,"OUMA",-1084.66432159231,"tribe"
"10",2,"OUMVA",-1058.39362096711,"tribe"
"11",3,"BMS",-1061.26934466132,"tribe"
"12",3,"OUM",-1092.37737909416,"tribe"
"13",3,"OUMV",-1073.00956169649,"tribe"
"14",3,"OUMA",-1083.49777576707,"tribe"
"15",3,"OUMVA",-1059.48446404229,"tribe"
"16",4,"BMS",-1061.43149975545,"tribe"
"17",4,"OUM",-1092.37737909416,"tribe"
"18",4,"OUMV",-1072.86677356515,"tribe"
"19",4,"OUMA",-1078.42482298439,"tribe"
"20",4,"OUMVA",-1118.54281878926,"tribe"
"21",5,"BM1",-538.204406872631,"tribe"
"22",5,"OU1",-910.01875413342,"tribe"
"23",5,"BMS",-1061.49849324346,"tribe"
"24",5,"OUM",-1092.37737909416,"tribe"
"25",5,"OUMV",-1072.89095355147,"tribe"
"26",5,"OUMA",-1073.23132935354,"tribe"
"27",5,"OUMVA",-1063.64764719576,"tribe"
"28",6,"BMS",-1061.0425164561,"tribe"
"29",6,"OUM",-1092.37737909416,"tribe"
"30",6,"OUMV",-1072.76049439311,"tribe"
"31",6,"OUMA",-1080.77709445755,"tribe"
"32",6,"OUMVA",-1064.4351350806,"tribe"
"33",7,"BMS",-1061.25256976429,"tribe"
"34",7,"OUM",-1092.37737909416,"tribe"
"35",7,"OUMV",-1072.86766304929,"tribe"
"36",7,"OUMA",-1085.61542452519,"tribe"
"37",7,"OUMVA",-1120.11092399259,"tribe"
"38",8,"BMS",-1061.30083369398,"tribe"
"39",8,"OUM",-1092.37737909416,"tribe"
"40",8,"OUMV",-1072.85664516045,"tribe"
