"","tree","model","AICc","regime"
"1",1,"BMS",-1254.89072236799,"water_system"
"2",1,"OUM",-1056.12534479058,"water_system"
"3",1,"OUMV",-1269.03759408646,"water_system"
"4",1,"OUMA",-1261.19287720143,"water_system"
"5",1,"OUMVA",-1259.45180836182,"water_system"
"6",2,"BMS",-1255.28265494223,"water_system"
"7",2,"OUM",-1056.1080314075,"water_system"
"8",2,"OUMV",-1269.57895454678,"water_system"
"9",2,"OUMA",-1261.05290674282,"water_system"
"10",2,"OUMVA",-1256.90395340584,"water_system"
"11",3,"BMS",-1256.55256564913,"water_system"
"12",3,"OUM",-1054.70918572044,"water_system"
"13",3,"OUMV",-1268.53084505867,"water_system"
"14",3,"OUMA",-1267.1984865948,"water_system"
"15",3,"OUMVA",-1253.17095976615,"water_system"
"16",4,"BMS",-1255.59989080494,"water_system"
"17",4,"OUM",-1055.76326356675,"water_system"
"18",4,"OUMV",-1269.82318173633,"water_system"
"19",4,"OUMA",-1260.17834142373,"water_system"
"20",4,"OUMVA",-1250.91307197736,"water_system"
"21",5,"BM1",-538.204406872631,"water_system"
"22",5,"OU1",-910.01875413342,"water_system"
"23",5,"BMS",-1255.56155915158,"water_system"
"24",5,"OUM",-1055.7367784871,"water_system"
"25",5,"OUMV",-1269.16657542171,"water_system"
"26",5,"OUMA",-1271.46045544713,"water_system"
"27",5,"OUMVA",-1253.0806789063,"water_system"
"28",6,"BMS",-1255.88762488518,"water_system"
"29",6,"OUM",-1056.9529322682,"water_system"
"30",6,"OUMV",-1272.11032345004,"water_system"
"31",6,"OUMA",-1269.61463169676,"water_system"
"32",6,"OUMVA",-1258.51917518116,"water_system"
"33",7,"BMS",-1256.02305791376,"water_system"
"34",7,"OUM",-1055.7296321899,"water_system"
"35",7,"OUMV",-1271.11553975057,"water_system"
"36",7,"OUMA",-1260.12495806501,"water_system"
"37",7,"OUMVA",-1254.59953939072,"water_system"
"38",8,"BMS",-1255.1594309394,"water_system"
"39",8,"OUM",-1055.56380113655,"water_system"
"40",8,"OUMV",-1269.29538015692,"water_system"
"41",8,"OUMA",-1266.71176284021,"water_system"
"42",8,"OUMVA",-1253.08421367327,"water_system"
"43",9,"BMS",-1256.35602139353,"water_system"
"44",9,"OUM",-1057.73392191397,"water_system"
"45",9,"OUMV",-1270.97325915213,"water_system"
"46",9,"OUMA",-1267.15262059682,"water_system"
"47",9,"OUMVA",-1255.05320153411,"water_system"
"48",10,"BMS",-1256.55583486814,"water_system"
"49",10,"OUM",-1055.75916257626,"water_system"
"50",10,"OUMV",-1270.09360850797,"water_system"
"51",10,"OUMA",-1262.29268109828,"water_system"
"52",10,"OUMVA",-1256.80715524616,"water_system"
"53",11,"BMS",-1255.65193901787,"water_system"
"54",11,"OUM",-1055.70748740578,"water_system"
"55",11,"OUMV",-1271.06078980199,"water_system"
"56",11,"OUMA",-1269.27426470053,"water_system"
"57",11,"OUMVA",-1258.15275754858,"water_system"
"58",12,"BMS",-1255.99306699742,"water_system"
"59",12,"OUM",-1055.70161230262,"water_system"
"60",12,"OUMV",-1270.71056617661,"water_system"
"61",12,"OUMA",-1272.49509056914,"water_system"
"62",12,"OUMVA",-1252.0894418481,"water_system"
"63",13,"BMS",-1256.14902529615,"water_system"
"64",13,"OUM",-1055.72966345233,"water_system"
"65",13,"OUMV",-1270.7175713628,"water_system"
"66",13,"OUMA",-1274.13441056077,"water_system"
"67",13,"OUMVA",-1260.4877957676,"water_system"
"68",14,"BMS",-1257.25126220624,"water_system"
"69",14,"OUM",-1055.80508587825,"water_system"
"70",14,"OUMV",-1272.29362952407,"water_system"
"71",14,"OUMA",-1272.29417325044,"water_system"
"72",14,"OUMVA",-1253.15510841155,"water_system"
"73",15,"BMS",-1257.81807237672,"water_system"
"74",15,"OUM",-1055.70147244352,"water_system"
"75",15,"OUMV",-1273.90960805498,"water_system"
