species_name,genus,tribe,haplochromine,water_body,water_system,lm_ecology,mouthbrooder,depth,piscivore,precaudal_count,caudal_count,total_count,aspect_ratio,ln_length_ln_width,data_type,data_name,reference,institution,specimen_number
Abactochromis labrosus,Abactochromis,Haplochromini,Haplochromine,Lake Malawi,Lake Malawi,Mbuna,maternal_mouthbrooder,demersal,non-piscivore,13,16,29,2.907249538,1.067207458,radiograph,Melanochromis_labrosus_NHMUK_1935.6_14_321,NHMUK_1935_6_14_321,NHMUK,1935.6.14.321
Alcolapia alcalica,Alcolapia,Oreochromini,Other,Riverine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,13,15,28,2.726495487,1.00301708,radiograph,ZSM-PIS-025618_20140129_131036_Alcolapia_grahami,ZSM-PIS-025618_20140129_131036,ZSM,025618_20140129
Alcolapia alcalica,Alcolapia,Oreochromini,Other,Riverine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,13,15,28,2.643391134,0.972062613,radiograph,ZSM-PIS-025618_20140129_130808_Alcolapia_grahami,ZSM-PIS-025618_20140129_130808,ZSM,025618_20140129
Alcolapia alcalica,Alcolapia,Oreochromini,Other,Riverine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,13,14,27,3.075252894,1.12338714,radiograph,ZSM-PIS-023559_20150206_100925_Alcolapia_alcalica,ZSM-PIS-023559_20150206_100925,ZSM,023558_20150206
Alcolapia alcalica,Alcolapia,Oreochromini,Other,Riverine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,13,15,28,3.034502625,1.110047531,radiograph,ZSM-PIS-023558_20150206_103315_Alcolapia_alcalica,ZSM-PIS-023558_20150206_103315,ZSM,023558_20150206
Alcolapia alcalica,Alcolapia,Oreochromini,Other,Riverine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,13,16,29,2.907380699,1.067252572,radiograph,"NHMUK_1905.7.25.29-31, SYNTYPES, Tilapia alcalica (Alcolapia alcalica)_d",NHMUK 1905.7.25.29-31_d,NHMUK,1905.7.25.29-31
Alcolapia alcalica,Alcolapia,Oreochromini,Other,Riverine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,13,17,30,2.767641616,1.017995555,radiograph,"NHMUK_1905.7.25.29-31, SYNTYPES, Tilapia alcalica (Alcolapia alcalica)_c",NHMUK 1905.7.25.29-31_c,NHMUK,1905.7.25.29-31
Alcolapia alcalica,Alcolapia,Oreochromini,Other,Riverine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,12,15,27,2.747973283,1.010863652,radiograph,"NHMUK_1905.7.25.29-31, SYNTYPES, Tilapia alcalica (Alcolapia alcalica)_b",NHMUK 1905.7.25.29-31_b,NHMUK,1905.7.25.29-31
Alcolapia grahami,Alcolapia,Oreochromini,Other,Riverine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,13,16,29,3.469151971,1.243910175,radiograph,"NHMUK_1912.4.26.1-30, Tilapia grahami (Alcolapia grahami)_s",NHMUK 1912.4.26.1-30_s,NHMUK,1912.4.26.1-30
Alcolapia grahami,Alcolapia,Oreochromini,Other,Riverine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,13,15,28,2.963850494,1.086489265,radiograph,"NHMUK_1912.4.26.1-30, Tilapia grahami (Alcolapia grahami)_r",NHMUK 1912.4.26.1-30_r,NHMUK,1912.4.26.1-30
Alcolapia grahami,Alcolapia,Oreochromini,Other,Riverine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,13,15,28,3.002545018,1.099460268,radiograph,"NHMUK_1912.4.26.1-30, Tilapia grahami (Alcolapia grahami)_q",NHMUK 1912.4.26.1-30_q,NHMUK,1912.4.26.1-30
